source_player_id,source_player_name,source_team_name,source_role_group,source_decision,similar_player_id,similar_player_name,similar_team_name,similar_role_group,similar_decision,similarity_score
matz_sels_nott'ham_forest,Matz Sels,Nott'ham Forest,Goalkeeper,Keep,mark_flekken_brentford,Mark Flekken,Brentford,Goalkeeper,Keep,0.7251749
matz_sels_nott'ham_forest,Matz Sels,Nott'ham Forest,Goalkeeper,Keep,ederson_manchester_city,Ederson,Manchester City,Goalkeeper,Keep,0.6966002
matz_sels_nott'ham_forest,Matz Sels,Nott'ham Forest,Goalkeeper,Keep,emiliano_martínez_aston_villa,Emiliano Martínez,Aston Villa,Goalkeeper,Keep,0.6872581
nathan_collins_brentford,Nathan Collins,Brentford,Defender,Keep,sepp_van_den_berg_brentford,Sepp van den Berg,Brentford,Defender,Keep,0.94259495
nathan_collins_brentford,Nathan Collins,Brentford,Defender,Keep,ethan_pinnock_brentford,Ethan Pinnock,Brentford,Defender,Keep,0.9231053
nathan_collins_brentford,Nathan Collins,Brentford,Defender,Keep,rico_henry_brentford,Rico Henry,Brentford,Defender,Give More Chances,0.9125822
david_raya_arsenal,David Raya,Arsenal,Goalkeeper,Keep,dean_henderson_crystal_palace,Dean Henderson,Crystal Palace,Goalkeeper,Keep,0.7583678
david_raya_arsenal,David Raya,Arsenal,Goalkeeper,Keep,andré_onana_manchester_utd,André Onana,Manchester Utd,Goalkeeper,Keep,0.71573806
david_raya_arsenal,David Raya,Arsenal,Goalkeeper,Keep,nick_pope_newcastle_utd,Nick Pope,Newcastle Utd,Goalkeeper,Keep,0.6930897
jordan_pickford_everton,Jordan Pickford,Everton,Goalkeeper,Keep,nick_pope_newcastle_utd,Nick Pope,Newcastle Utd,Goalkeeper,Keep,0.7315723
jordan_pickford_everton,Jordan Pickford,Everton,Goalkeeper,Keep,mark_flekken_brentford,Mark Flekken,Brentford,Goalkeeper,Keep,0.66461265
jordan_pickford_everton,Jordan Pickford,Everton,Goalkeeper,Keep,emiliano_martínez_aston_villa,Emiliano Martínez,Aston Villa,Goalkeeper,Keep,0.6436463
dean_henderson_crystal_palace,Dean Henderson,Crystal Palace,Goalkeeper,Keep,david_raya_arsenal,David Raya,Arsenal,Goalkeeper,Keep,0.7583678
dean_henderson_crystal_palace,Dean Henderson,Crystal Palace,Goalkeeper,Keep,andré_onana_manchester_utd,André Onana,Manchester Utd,Goalkeeper,Keep,0.7513949
dean_henderson_crystal_palace,Dean Henderson,Crystal Palace,Goalkeeper,Keep,kepa_arrizabalaga_bournemouth,Kepa Arrizabalaga,Bournemouth,Goalkeeper,Keep,0.6953099
bernd_leno_fulham,Bernd Leno,Fulham,Goalkeeper,Keep,mark_flekken_brentford,Mark Flekken,Brentford,Goalkeeper,Keep,0.7099103
bernd_leno_fulham,Bernd Leno,Fulham,Goalkeeper,Keep,matz_sels_nott'ham_forest,Matz Sels,Nott'ham Forest,Goalkeeper,Keep,0.66942346
bernd_leno_fulham,Bernd Leno,Fulham,Goalkeeper,Keep,nick_pope_newcastle_utd,Nick Pope,Newcastle Utd,Goalkeeper,Keep,0.6557324
bryan_mbeumo_brentford,Bryan Mbeumo,Brentford,Forward,Keep,yoane_wissa_brentford,Yoane Wissa,Brentford,Forward,Keep,0.96524704
bryan_mbeumo_brentford,Bryan Mbeumo,Brentford,Forward,Keep,kevin_schade_brentford,Kevin Schade,Brentford,Forward,Keep,0.8844186
bryan_mbeumo_brentford,Bryan Mbeumo,Brentford,Forward,Keep,jean-philippe_mateta_crystal_palace,Jean-Philippe Mateta,Crystal Palace,Forward,Keep,0.6551254
mohamed_salah_liverpool,Mohamed Salah,Liverpool,Forward,Keep,cody_gakpo_liverpool,Cody Gakpo,Liverpool,Forward,Keep,0.93072706
mohamed_salah_liverpool,Mohamed Salah,Liverpool,Forward,Keep,luis_díaz_liverpool,Luis Díaz,Liverpool,Forward,Keep,0.90787166
mohamed_salah_liverpool,Mohamed Salah,Liverpool,Forward,Keep,darwin_núñez_liverpool,Darwin Núñez,Liverpool,Forward,Monitor,0.87630486
moisés_caicedo_chelsea,Moisés Caicedo,Chelsea,DefMidWingBack,Keep,reece_james_chelsea,Reece James,Chelsea,DefMidWingBack,Monitor,0.8103994
moisés_caicedo_chelsea,Moisés Caicedo,Chelsea,DefMidWingBack,Keep,renato_veiga_chelsea,Renato Veiga,Chelsea,DefMidWingBack,Loan,0.79157066
