player_id,team_id,player_name,nationality,raw_position,role_group,team_name,league_name,age,matches_played,games_started,minutes_played,nineties_played,goals,assists,expected_goals,expected_assisted_goals,tackles,interceptions,clearances,blocks,goals_against,saves,save_percentage,clean_sheets,goals_per_90,assists_per_90,tackles_per_90,interceptions_per_90,clearances_per_90,blocks_per_90,clean_sheets_per_90,goals_against_per_90,normalized_goals_per_90,normalized_assists_per_90,normalized_tackles_per_90,normalized_interceptions_per_90,normalized_clearances_per_90,normalized_blocks_per_90,normalized_save_percentage,normalized_clean_sheets_per_90,normalized_goals_against_per_90,raw_performance_score,performance_score,performance_percentile,performance_level
matz_sels_nott'ham_forest,nott'ham_forest,Matz Sels,be BEL,GK,Goalkeeper,Nott'ham Forest,eng Premier League,32.0,38,38,3420,38.0,0,0,0.0,0.4,1,0,26,0,46.0,119.0,73.9,13.0,0.0,0.0,0.02631578947368421,0.0,0.6842105263157895,0.0,0.34210526315789475,1.2105263157894737,0.0,0.0,0.05263157894736842,0.0,0.30409356725146197,0.0,0.7390000000000001,0.034210526315789476,0.3026315789473684,0.47057894736842115,0.41176113360323885,79.55,Good
nathan_collins_brentford,brentford,Nathan Collins,ie IRL,DF,Defender,Brentford,eng Premier League,23.0,38,38,3420,38.0,2,3,2.5,1.8,40,34,226,77,0.0,0.0,0.0,0.0,0.05263157894736842,0.07894736842105263,1.0526315789473684,0.8947368421052632,5.947368421052632,2.026315789473684,0.0,0.0,0.1526315789473684,0.26842105263157895,0.05263157894736842,0.08947368421052632,0.5947368421052632,0.2026315789473684,0.0,0.0,0.0,0.9394736842105263,0.4697368421052632,84.7,Good
david_raya_arsenal,arsenal,David Raya,es ESP,GK,Goalkeeper,Arsenal,eng Premier League,28.0,38,38,3420,38.0,0,0,0.0,0.0,0,2,21,0,34.0,86.0,74.2,13.0,0.0,0.0,0.0,0.05263157894736842,0.5526315789473685,0.0,0.34210526315789475,0.8947368421052632,0.0,0.0,0.0,0.7894736842105263,0.2456140350877193,0.0,0.742,0.034210526315789476,0.2236842105263158,0.5525263157894736,0.4432793522267206,90.91,Good
jordan_pickford_everton,everton,Jordan Pickford,eng ENG,GK,Goalkeeper,Everton,eng Premier League,30.0,38,38,3420,38.0,0,1,0.0,0.4,1,1,30,0,44.0,117.0,73.0,12.0,0.0,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.7894736842105263,0.0,0.3157894736842105,1.1578947368421053,0.0,0.16973684210526316,0.05263157894736842,0.39473684210526316,0.3508771929824561,0.0,0.73,0.031578947368421054,0.2894736842105263,0.4721052631578947,0.4123481781376518,81.82,Good
dean_henderson_crystal_palace,crystal_palace,Dean Henderson,eng ENG,GK,Goalkeeper,Crystal Palace,eng Premier League,27.0,38,38,3420,38.0,0,0,0.0,0.2,2,0,22,0,51.0,101.0,66.7,11.0,0.0,0.0,0.05263157894736842,0.0,0.5789473684210527,0.0,0.2894736842105263,1.3421052631578947,0.0,0.0,0.10526315789473684,0.0,0.2573099415204678,0.0,0.667,0.02894736842105263,0.3355263157894737,0.360421052631579,0.3693927125506073,61.36,Good
bernd_leno_fulham,fulham,Bernd Leno,de GER,GK,Goalkeeper,Fulham,eng Premier League,32.0,38,38,3420,38.0,0,1,0.0,0.1,2,0,11,1,54.0,106.0,67.9,5.0,0.0,0.02631578947368421,0.05263157894736842,0.0,0.2894736842105263,0.02631578947368421,0.13157894736842105,1.4210526315789473,0.0,0.16973684210526316,0.10526315789473684,0.0,0.1286549707602339,0.40789473684210525,0.679,0.013157894736842105,0.35526315789473684,0.33689473684210536,0.3603441295546559,54.55,Promising
bryan_mbeumo_brentford,brentford,Bryan Mbeumo,cm CMR,FW,Forward,Brentford,eng Premier League,24.0,38,38,3414,37.9,20,7,12.3,8.3,49,14,55,26,0.0,0.0,0.0,0.0,0.5277044854881267,0.18469656992084432,1.2928759894459103,0.36939313984168864,1.4511873350923483,0.6860158311345647,0.0,0.0,0.5352431209950999,0.36939313984168864,0.12928759894459102,0.13852242744063326,0.43535620052770446,0.06860158311345646,0.0,0.0,0.0,0.9046362608367885,0.5186001713685455,86.42,Good
mohamed_salah_liverpool,liverpool,Mohamed Salah,eg EGY,FW,Forward,Liverpool,eng Premier League,32.0,38,38,3371,37.5,29,18,25.2,14.2,21,9,5,12,0.0,0.0,0.0,0.0,0.7733333333333333,0.48,0.56,0.24,0.13333333333333333,0.32,0.0,0.0,0.7843809523809524,0.96,0.05600000000000001,0.09,0.04,0.032,0.0,0.0,0.0,1.7443809523809524,1.0,100.0,Good
moisés_caicedo_chelsea,chelsea,Moisés Caicedo,ec ECU,"MF,DF",DefMidWingBack,Chelsea,eng Premier League,22.0,38,38,3351,37.2,1,2,0.8,3.0,114,49,60,49,0.0,0.0,0.0,0.0,0.026881720430107524,0.05376344086021505,3.064516129032258,1.3172043010752688,1.6129032258064515,1.3172043010752688,0.0,0.0,0.08198924731182794,0.16666666666666666,0.3996415770609319,0.3951612903225806,0.3975993998499625,0.24148745519713263,0.0,0.0,0.0,1.3590689339001418,0.36139138184474645,62.07,Good
max_kilman_west_ham,west_ham,Max Kilman,eng ENG,DF,Defender,West Ham,eng Premier League,27.0,38,38,3348,37.2,0,1,1.6,1.2,39,38,212,58,0.0,0.0,0.0,0.0,0.0,0.026881720430107524,1.0483870967741935,1.021505376344086,5.698924731182795,1.5591397849462365,0.0,0.0,0.0,0.09139784946236558,0.05241935483870967,0.1021505376344086,0.5698924731182795,0.15591397849462366,0.0,0.0,0.0,0.8803763440860214,0.4401881720430107,77.05,Good
